"codigo_de_","csnap","nam","map","ror","rom","subap","esc","psj","are","edel","txt"
"FA210","HB01057","MARCOS PEREZ DE CASTILLA","AREA PROTEGIDA COMUNITARIA","ACUERDO MINISTERIAL NO. 036 DEL  23/04/2019","SIN MODIFICACION","COMUNITARIO",50000,"TERRESTRE",8425.22943944,"EN REVISIÓN","SPN"
"FA210","HB01055","RIO NEGRO SOPLADORA","PARQUE NACIONAL","ACUERDO MINIATERIAL NO. 009DEL 23/01/2018","ACUERDO MINISTERIAL NO.21 DEL 05 DE AGOSTO DE 2020","ESTATAL",5000,"TERRESTRE",2175.6726601,"CONCLUIDO","SPN"
